"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
883,2015,7,16,4,"DL","BNA",0,18,0
2385,2015,1,15,4,"DL","MSY",0,27,0
1084,2015,3,17,2,"DL","JFK",0,46,0
1511,2015,2,14,6,"DL","DEN",0,28,0
2215,2015,5,12,2,"AA","DFW",0,16,0
756,2015,11,21,6,"AA","CLT",0,33,0
1645,2015,2,17,2,"DL","DEN",0,69,0
1854,2015,3,1,7,"DL","DEN",0,17,0
2455,2015,6,30,2,"DL","IAH",13,3,0
2230,2015,7,15,3,"DL","LGA",40,12,0
2345,2015,3,7,6,"DL","EWR",0,49,0
2793,2015,6,6,6,"DL","ATL",0,21,0
1462,2015,9,14,1,"DL","BUF",0,25,0
2335,2015,2,17,2,"DL","SLC",55,1,0
1622,2015,9,30,3,"DL","BOS",9,33,0
1917,2015,2,18,3,"DL","LAS",0,14,0
1989,2015,6,25,4,"DL","CLT",0,15,0
1579,2015,4,12,7,"DL","MIA",0,19,0
1318,2015,12,2,3,"DL","PHL",0,70,0
1436,2015,12,16,3,"DL","BWI",24,1,0
1057,2015,5,27,3,"DL","CLT",0,22,0
2383,2015,1,21,3,"DL","ATL",0,75,0
1225,2015,6,23,2,"DL","TPA",2,17,0
1511,2015,3,4,3,"DL","DEN",0,13,0
1959,2015,7,25,6,"DL","TPA",0,62,0
1844,2015,9,24,4,"DL","DFW",0,17,0
1707,2015,2,9,1,"DL","RDU",26,14,0
1709,2015,1,10,6,"DL","SRQ",0,156,55
1405,2015,12,27,7,"DL","MCO",0,108,0
1823,2015,6,5,5,"DL","SEA",40,16,0
1436,2015,2,17,2,"DL","BWI",0,46,0
2633,2015,4,19,7,"DL","IND",47,1,0
1331,2015,6,7,7,"DL","MCI",0,41,0
780,2015,4,8,3,"DL","CLT",0,21,0
1621,2015,6,17,3,"DL","TPA",0,23,0
1749,2015,3,21,6,"DL","PHL",0,15,0
2345,2015,3,25,3,"DL","EWR",0,26,0
1917,2015,3,3,2,"DL","LAS",0,59,0
2513,2015,2,23,1,"DL","GRB",0,56,0
787,2015,9,5,6,"DL","JFK",1,10,0
1917,2015,12,23,3,"DL","LAS",24,22,0
1125,2015,1,14,3,"AA","DFW",0,137,0
1569,2015,8,2,7,"DL","GRR",36,24,0
1921,2015,6,14,7,"DL","PHX",0,92,0
1917,2015,2,14,6,"DL","LAS",0,21,0
2635,2015,7,7,2,"DL","LGA",0,11,0
1096,2015,4,11,6,"DL","MSP",25,1,0
2617,2015,6,8,1,"DL","ATL",1,41,0
188,2015,7,28,2,"DL","BOS",17,8,0
301,2015,7,1,3,"AA","MIA",28,7,0
1187,2015,2,21,6,"DL","ORD",6,1,0
1536,2015,7,17,5,"DL","BWI",0,26,0
21,2015,8,24,1,"DL","FLL",23,5,0
358,2015,7,27,1,"DL","SYR",0,109,0
1729,2015,12,16,3,"DL","SFO",4,13,0
1749,2015,2,8,7,"DL","PHL",0,16,0
1385,2015,6,10,3,"DL","TVC",0,71,0
1255,2015,9,8,2,"DL","PVD",72,37,0
1704,2015,3,3,2,"DL","FLL",5,7,0
2144,2015,2,13,5,"DL","DCA",0,8,0
2656,2015,6,19,5,"DL","PIT",0,29,0
1829,2015,3,5,4,"DL","MIA",3,99,0
1096,2015,8,21,5,"DL","MSP",8,13,0
1829,2015,1,27,2,"DL","MIA",0,65,0
1237,2015,11,11,3,"DL","BOS",0,20,0
1155,2015,3,3,2,"DL","MCI",36,5,0
946,2015,7,14,2,"DL","MSP",0,149,0
1973,2015,2,17,2,"DL","FLL",0,12,0
1248,2015,5,30,6,"DL","LAX",11,30,0
1749,2015,2,24,2,"DL","PHL",52,10,0
1537,2015,11,21,6,"DL","RSW",17,10,0
935,2015,8,10,1,"DL","SFO",0,17,0
2335,2015,4,22,3,"DL","DEN",0,20,0
1821,2015,5,7,4,"DL","PHX",0,9,0
1366,2015,3,22,7,"DL","RSW",0,11,0
947,2015,9,3,4,"DL","LGA",4,24,0
1703,2015,2,16,1,"DL","TPA",0,61,32
1844,2015,3,4,3,"DL","DFW",0,6,0
1805,2015,5,7,4,"DL","MCO",0,17,0
2793,2015,6,30,2,"DL","ATL",8,18,0
2021,2015,6,25,4,"DL","PHX",9,6,0
1225,2015,12,2,3,"DL","TPA",16,4,0
1248,2015,5,8,5,"DL","LAX",9,19,0
1096,2015,12,26,6,"DL","MSP",32,2,0
1225,2015,6,27,6,"DL","TPA",0,123,0
1280,2015,6,18,4,"AA","DFW",25,10,0
1067,2015,6,25,4,"DL","PDX",56,7,0
1622,2015,8,21,5,"DL","BOS",21,2,0
1370,2015,4,16,4,"DL","ATL",0,13,0
2629,2015,7,8,3,"DL","ORD",4,9,0
1421,2015,1,6,2,"AA","MIA",0,10,0
1822,2015,2,13,5,"DL","BOS",0,39,0
1719,2015,2,21,6,"DL","LAX",0,40,0
630,2015,9,11,5,"DL","ATL",0,7,0
52,2015,12,11,5,"DL","MSP",0,24,0
2478,2015,12,27,7,"DL","IND",0,14,0
2643,2015,7,15,3,"DL","EWR",0,24,0
1282,2015,5,27,3,"DL","MIA",0,36,0
2335,2015,2,15,7,"DL","SLC",1,12,54
1809,2015,9,5,6,"DL","SLC",0,15,0
1372,2015,8,8,6,"DL","BUF",0,94,0
1144,2015,2,25,3,"DL","DCA",0,20,0
780,2015,4,28,2,"DL","CLT",0,32,0
1658,2015,9,24,4,"DL","SFO",13,15,0
2263,2015,9,28,1,"DL","SEA",0,82,0
1660,2015,12,7,1,"DL","EWR",0,20,0
2002,2015,2,28,6,"DL","GRB",0,22,0
1636,2015,8,26,3,"DL","MCI",0,91,0
855,2015,4,20,1,"DL","SLC",14,6,0
2317,2015,6,17,3,"DL","LAS",0,8,0
2551,2015,3,1,7,"DL","BDL",264,6,0
1437,2015,3,4,3,"DL","BWI",0,16,0
855,2015,3,1,7,"DL","SLC",20,15,0
2082,2015,5,19,2,"DL","MKE",0,42,0
2021,2015,9,3,4,"DL","PHX",34,10,0
2521,2015,1,8,4,"DL","DCA",11,17,0
1740,2015,12,6,7,"DL","PIT",0,95,4
2228,2015,3,7,6,"DL","MCO",0,9,0
1144,2015,7,23,4,"DL","RDU",33,141,0
2551,2015,2,24,2,"DL","BDL",19,2,0
1207,2015,1,12,1,"DL","SLC",0,19,0
2220,2015,4,30,4,"DL","BOS",0,9,0
1745,2015,12,17,4,"AA","CLT",8,17,0
2656,2015,7,30,4,"DL","PIT",46,23,0
1495,2015,3,26,4,"DL","BOS",24,17,0
1989,2015,7,15,3,"DL","CLT",4,23,0
748,2015,2,24,2,"DL","ATL",0,86,0
1917,2015,6,27,6,"DL","LAS",6,13,0
1622,2015,9,3,4,"DL","BOS",0,120,34
1395,2015,12,30,3,"DL","MSY",0,18,0
1067,2015,8,8,6,"DL","PDX",0,97,0
1930,2015,3,19,4,"DL","PBI",0,55,0
2188,2015,4,10,5,"DL","ALB",49,23,0
1237,2015,11,20,5,"DL","BOS",8,9,0
901,2015,2,27,5,"DL","ATL",4,28,0
1981,2015,7,29,3,"AA","CLT",20,4,0
2220,2015,5,1,5,"DL","BOS",6,8,0
1444,2015,9,28,1,"DL","GRR",0,42,0
2523,2015,8,21,5,"DL","BOS",0,10,0
1921,2015,4,13,1,"DL","PHX",0,54,0
1248,2015,6,22,1,"DL","LAX",0,21,0
1644,2015,7,30,4,"DL","LAX",0,76,0
1854,2015,4,1,3,"DL","DEN",0,22,0
1217,2015,7,6,1,"DL","LAS",0,38,0
2021,2015,7,8,3,"DL","PHX",0,129,0
2629,2015,11,3,2,"DL","ORD",0,54,0
1241,2015,4,8,3,"AA","DFW",0,29,0
1947,2015,8,16,7,"DL","DFW",0,90,0
52,2015,3,2,1,"DL","MSP",13,13,5
901,2015,12,6,7,"DL","ATL",0,30,0
1513,2015,4,9,4,"DL","ATL",0,89,0
1962,2015,7,3,5,"DL","PHL",0,172,0
1721,2015,3,1,7,"DL","TPA",42,4,0
1331,2015,6,16,2,"DL","MCI",0,128,0
651,2015,7,9,4,"DL","DCA",0,16,0
1969,2015,6,17,3,"DL","OMA",0,23,0
1842,2015,12,8,2,"DL","ATL",0,22,0
2555,2015,4,12,7,"DL","FLL",0,66,0
2128,2015,5,27,3,"DL","MCO",0,34,0
1490,2015,2,1,7,"DL","LAS",0,8,56
582,2015,8,24,1,"DL","LGA",17,1,0
373,2015,7,17,5,"DL","SFO",14,19,0
1997,2015,12,6,7,"DL","MCI",97,23,0
188,2015,12,18,5,"DL","LGA",7,12,0
2144,2015,6,3,3,"DL","DCA",0,8,0
1167,2015,8,1,6,"DL","TVC",9,45,0
537,2015,6,8,1,"DL","MSN",0,142,0
1362,2015,4,2,4,"DL","ROC",0,25,0
1851,2015,8,22,6,"DL","EWR",0,152,0
52,2015,4,17,5,"DL","MSP",0,93,0
1617,2015,12,28,1,"DL","RSW",83,23,0
87,2015,6,23,2,"DL","MSP",44,10,0
831,2015,2,18,3,"DL","LGA",0,6,0
1490,2015,2,21,6,"DL","LAS",110,2,0
1096,2015,2,22,7,"DL","ATL",0,19,0
2263,2015,1,6,2,"DL","SEA",0,10,0
1704,2015,8,23,7,"DL","FLL",56,2,0
2657,2015,3,1,7,"DL","PHX",0,13,0
1225,2015,12,28,1,"DL","TPA",0,6,0
916,2015,8,3,1,"DL","PVD",0,48,0
1854,2015,12,18,5,"DL","DEN",23,1,0
1405,2015,2,25,3,"DL","MCO",99,9,0
1804,2015,9,4,5,"DL","FLL",0,16,0
1604,2015,8,21,5,"DL","FLL",0,51,0
2287,2015,2,22,7,"DL","ATL",0,15,0
925,2015,12,20,7,"DL","DCA",10,43,0
2279,2015,12,19,6,"DL","DEN",0,55,0
2413,2015,8,18,2,"DL","SEA",18,3,0
1645,2015,11,6,5,"DL","DEN",0,13,0
2646,2015,2,18,3,"DL","ATL",0,15,0
2423,2015,2,21,6,"DL","SEA",0,60,0
1442,2015,2,7,6,"DL","FLL",0,77,0
1703,2015,7,1,3,"DL","TPA",0,16,0
1154,2015,1,6,2,"DL","BNA",90,10,0
1917,2015,2,8,7,"DL","LAS",8,28,0
1707,2015,2,2,1,"DL","RDU",45,48,0
1997,2015,6,20,6,"DL","MCI",0,142,0
1854,2015,7,8,3,"DL","DEN",0,144,0
2658,2015,6,21,7,"DL","BDL",0,80,0
87,2015,3,13,5,"DL","SAN",18,12,0
2449,2015,6,18,4,"DL","DCA",51,21,0
21,2015,3,4,3,"DL","FLL",0,16,0
1125,2015,3,21,6,"AA","DFW",0,39,0
1893,2015,2,21,6,"DL","ATL",7,34,0
2468,2015,3,2,1,"DL","MSP",0,18,0
2552,2015,8,9,7,"DL","MSN",0,124,0
1929,2015,4,5,7,"DL","MCO",0,24,0
1821,2015,5,1,5,"DL","PHX",0,13,0
855,2015,6,5,5,"DL","SLC",0,36,0
2793,2015,6,28,7,"DL","ATL",0,38,0
1284,2015,2,2,1,"DL","MKE",43,10,0
1405,2015,8,13,4,"DL","MCO",108,9,0
2555,2015,4,9,4,"DL","FLL",0,7,0
855,2015,6,29,1,"DL","SLC",0,123,0
2564,2015,4,3,5,"DL","RSW",0,85,0
739,2015,5,14,4,"DL","PWM",0,16,0
1870,2015,1,12,1,"DL","IND",13,6,0
1055,2015,7,21,2,"DL","MSP",0,52,0
1154,2015,2,2,1,"DL","BNA",0,83,0
2027,2015,5,23,6,"DL","MSN",0,93,0
2215,2015,2,3,2,"AA","DFW",0,35,0
158,2015,4,7,2,"DL","BOS",0,23,0
1731,2015,2,17,2,"DL","MKE",0,90,0
745,2015,3,7,6,"DL","SFO",0,20,0
2390,2015,3,6,5,"DL","GRR",39,7,0
1921,2015,3,9,1,"DL","PHX",0,12,0
2021,2015,12,30,3,"DL","PHX",33,7,0
745,2015,4,8,3,"DL","SFO",0,13,0
630,2015,6,27,6,"DL","ATL",0,26,0
1084,2015,12,5,6,"DL","BWI",0,16,0
2103,2015,8,30,7,"DL","DEN",10,7,0
2436,2015,1,7,3,"DL","SEA",0,166,0
2303,2015,5,30,6,"DL","GRR",0,26,0
43,2015,12,6,7,"AA","DFW",9,7,0
2414,2015,12,7,1,"DL","BDL",0,18,0
1947,2015,8,3,1,"DL","DFW",0,74,0
1241,2015,8,14,5,"AA","DFW",0,18,0
2162,2015,2,19,4,"DL","PHL",0,34,0
1621,2015,6,19,5,"DL","TPA",12,14,0
1749,2015,6,15,1,"DL","PHL",0,85,0
2327,2015,11,18,3,"DL","SFO",0,131,0
2557,2015,1,3,6,"DL","ATL",0,13,0
713,2015,11,22,7,"DL","MCO",1,8,0
2656,2015,5,18,1,"DL","PIT",293,14,0
1223,2015,9,17,4,"DL","LAX",15,3,0
2486,2015,6,17,3,"DL","PVD",65,2,0
1721,2015,2,20,5,"DL","TPA",0,48,0
2405,2015,9,4,5,"DL","ALB",25,8,0
1336,2015,12,30,3,"DL","BDL",0,14,0
1144,2015,11,2,1,"DL","DCA",0,21,0
