"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
1055,2015,7,9,4,"DL","MSP",6,20,0
1621,2015,7,12,7,"DL","TPA",7,7,0
2501,2015,6,17,3,"DL","SAT",36,9,0
1331,2015,12,13,7,"DL","MCI",0,59,0
1389,2015,9,3,4,"DL","LAS",0,22,0
696,2015,12,6,7,"DL","PVD",149,14,0
1055,2015,2,1,7,"DL","MSP",0,18,0
867,2015,11,26,4,"DL","PHX",0,11,0
1291,2015,3,28,6,"DL","BOS",0,34,0
901,2015,2,19,4,"DL","ATL",30,8,0
1248,2015,4,24,5,"DL","LAX",0,34,0
1385,2015,9,10,4,"DL","MSN",0,19,0
1933,2015,7,6,1,"AA","PHL",0,69,0
1225,2015,8,22,6,"DL","TPA",0,75,148
1490,2015,6,22,1,"DL","LAS",0,15,0
1579,2015,1,4,7,"DL","MIA",0,86,0
940,2015,11,15,7,"DL","ROC",0,22,0
2228,2015,7,25,6,"DL","ATL",0,19,0
630,2015,2,27,5,"DL","LGA",29,10,0
1280,2015,4,9,4,"AA","DFW",70,8,0
1722,2015,9,19,6,"DL","SFO",0,56,0
1893,2015,2,17,2,"DL","ATL",0,27,0
1237,2015,9,2,3,"DL","BOS",6,17,0
1499,2015,1,9,5,"DL","RSW",0,22,0
2248,2015,2,26,4,"DL","LGA",124,14,0
1917,2015,12,28,1,"DL","LAS",35,12,0
1804,2015,8,11,2,"DL","FLL",2,16,0
1160,2015,5,26,2,"DL","PHL",0,54,0
1622,2015,3,27,5,"DL","BOS",0,12,0
2224,2015,8,24,1,"DL","OMA",42,2,0
1269,2015,6,19,5,"DL","ATL",0,9,0
1436,2015,12,20,7,"DL","BWI",3,35,0
2263,2015,6,17,3,"DL","SEA",20,2,0
1484,2015,1,4,7,"DL","TPA",0,118,0
582,2015,2,8,7,"DL","BOS",0,14,0
1821,2015,7,2,4,"DL","PHX",0,22,0
2521,2015,2,13,5,"DL","EWR",0,24,0
1882,2015,5,30,6,"DL","SLC",0,36,0
2461,2015,1,10,6,"DL","LGA",0,24,0
652,2015,5,4,1,"DL","GRB",0,21,0
1703,2015,7,27,1,"DL","TPA",0,151,0
1248,2015,11,8,7,"DL","LAX",0,25,0
1493,2015,2,5,4,"DL","ORD",5,20,0
1107,2015,1,7,3,"DL","STL",0,39,0
2603,2015,3,6,5,"DL","EWR",0,16,0
1343,2015,2,8,7,"DL","BUF",3,9,0
1621,2015,8,2,7,"DL","TPA",0,78,0
2028,2015,11,18,3,"DL","MCO",22,1,0
2174,2015,12,18,5,"DL","BOS",0,7,0
1385,2015,7,26,7,"DL","TVC",1,16,0
1645,2015,1,5,1,"DL","DEN",1,10,0
1369,2015,8,31,1,"DL","MCI",0,59,0
1287,2015,4,24,5,"DL","BNA",11,9,0
2623,2015,4,9,4,"DL","STL",131,7,0
2466,2015,3,8,7,"DL","LGA",0,41,0
1844,2015,4,21,2,"DL","DFW",2,10,0
833,2015,2,19,4,"DL","SAN",0,43,0
1330,2015,1,7,3,"DL","CLT",0,42,0
1502,2015,4,20,1,"DL","SEA",21,46,0
2477,2015,8,21,5,"DL","MKE",0,60,0
565,2015,7,14,2,"DL","PHL",0,21,0
2633,2015,4,2,4,"DL","IND",0,10,0
1688,2015,3,11,3,"DL","GRR",0,16,0
2633,2015,4,6,1,"DL","IND",0,62,0
1604,2015,6,26,5,"DL","FLL",7,9,0
1749,2015,6,7,7,"DL","PHL",7,30,0
1248,2015,4,2,4,"DL","LAX",0,6,0
2028,2015,9,13,7,"DL","MCO",0,50,0
503,2015,1,4,7,"DL","MSP",5,48,0
988,2015,7,29,3,"DL","JAX",20,30,0
1706,2015,6,25,4,"DL","LAX",0,29,0
2580,2015,7,10,5,"DL","GRR",0,64,0
1358,2015,6,8,1,"DL","RDU",0,8,0
917,2015,5,11,1,"DL","GRR",35,12,0
630,2015,3,2,1,"DL","LGA",4,16,0
1823,2015,12,17,4,"DL","SEA",0,107,0
1330,2015,12,14,1,"DL","CLT",0,27,0
855,2015,3,22,7,"DL","SLC",1,18,0
2014,2015,2,8,7,"DL","BNA",0,111,0
1637,2015,7,6,1,"DL","BWI",0,6,0
2048,2015,1,5,1,"DL","LGA",0,74,0
1719,2015,2,9,1,"DL","LAX",0,10,0
1737,2015,5,4,1,"DL","BWI",0,32,0
1207,2015,9,3,4,"DL","SLC",0,36,48
630,2015,2,2,1,"DL","ATL",0,73,0
1220,2015,4,27,1,"DL","DCA",0,13,0
1467,2015,3,6,5,"DL","STL",0,97,0
671,2015,5,21,4,"DL","BNA",23,3,0
662,2015,12,30,3,"DL","SEA",88,9,0
52,2015,2,28,6,"DL","MSP",0,17,0
1067,2015,8,17,1,"DL","PDX",76,5,0
1223,2015,3,20,5,"DL","LAX",0,142,0
1847,2015,1,9,5,"DL","SEA",11,5,4
1335,2015,1,4,7,"DL","IND",0,11,0
281,2015,9,28,1,"DL","SEA",0,42,0
1847,2015,1,26,1,"DL","SEA",28,8,0
1962,2015,2,25,3,"DL","PHL",0,25,0
1645,2015,8,14,5,"DL","DEN",34,7,0
2327,2015,11,2,1,"DL","SFO",0,10,0
1681,2015,6,18,4,"DL","PBI",23,1,0
1330,2015,5,27,3,"DL","CLT",0,12,0
1269,2015,1,16,5,"AA","DFW",13,2,0
1389,2015,12,7,1,"DL","LAS",0,57,0
2477,2015,8,16,7,"DL","MKE",0,18,0
338,2015,1,19,1,"DL","ATL",23,1,0
1487,2015,6,18,4,"DL","MEM",0,52,0
1704,2015,2,14,6,"DL","FLL",97,25,0
1437,2015,4,14,2,"DL","BWI",0,62,0
2656,2015,3,8,7,"DL","PIT",0,81,0
1923,2015,7,19,7,"AA","CLT",0,168,0
2325,2015,2,9,1,"DL","EWR",0,59,0
2656,2015,6,22,1,"DL","PIT",0,20,0
1988,2015,1,30,5,"DL","SFO",0,17,0
188,2015,4,13,1,"DL","BOS",0,88,0
21,2015,2,27,5,"DL","FLL",0,6,0
2220,2015,3,27,5,"DL","BOS",13,9,0
1958,2015,3,26,4,"DL","MCO",0,18,0
1225,2015,9,4,5,"DL","TPA",0,59,0
2533,2015,2,26,4,"DL","RDU",60,13,0
630,2015,2,24,2,"DL","LGA",76,5,0
1248,2015,6,2,2,"DL","LAX",0,25,0
2144,2015,2,16,1,"DL","DCA",0,17,0
2540,2015,4,21,2,"DL","MSY",0,43,0
1703,2015,3,5,4,"DL","TPA",0,34,0
281,2015,6,15,1,"DL","SEA",0,8,0
1845,2015,12,27,7,"DL","LAX",0,17,0
1218,2015,3,6,5,"DL","DCA",0,11,0
738,2015,5,31,7,"DL","ORF",0,37,0
281,2015,11,29,7,"DL","SEA",0,26,0
1067,2015,5,27,3,"DL","PDX",41,6,0
1220,2015,7,13,1,"DL","DCA",0,37,0
281,2015,7,2,4,"DL","SEA",22,6,0
1645,2015,3,26,4,"DL","DEN",40,14,0
1032,2015,1,6,2,"AA","MIA",8,9,0
582,2015,7,25,6,"DL","LGA",0,32,0
1917,2015,2,15,7,"DL","LAS",0,40,0
2131,2015,6,18,4,"DL","LGA",11,5,0
2231,2015,9,16,3,"DL","LGA",0,22,0
808,2015,11,21,6,"DL","DCA",0,12,0
2027,2015,4,21,2,"DL","MSN",0,12,0
930,2015,11,8,7,"DL","MIA",1,22,0
1084,2015,3,3,2,"DL","JFK",99,5,0
942,2015,5,15,5,"DL","MCI",0,13,0
2051,2015,4,10,5,"DL","RSW",0,189,0
1493,2015,1,21,3,"DL","ORD",0,68,0
1490,2015,6,11,4,"DL","LAS",1,28,0
1823,2015,9,6,7,"DL","SEA",0,12,0
1822,2015,1,21,3,"DL","BOS",0,11,0
1621,2015,7,17,5,"DL","TPA",10,5,0
338,2015,6,8,1,"DL","AUS",9,26,0
1138,2015,1,5,1,"DL","LGA",12,14,0
2482,2015,2,20,5,"DL","PIT",0,103,0
2658,2015,6,28,7,"DL","BDL",0,50,0
726,2015,8,20,4,"DL","MCO",0,13,0
276,2015,6,27,6,"DL","MCO",0,26,0
2028,2015,11,20,5,"DL","MCO",0,33,0
2128,2015,7,19,7,"DL","MCO",0,18,0
2656,2015,6,12,5,"DL","PIT",0,20,0
2624,2015,3,30,1,"DL","BUF",0,20,0
2148,2015,1,5,1,"DL","LGA",9,4,0
1981,2015,8,3,1,"AA","CLT",0,3,0
1405,2015,3,27,5,"DL","MCO",43,1,0
895,2015,6,22,1,"DL","BOS",10,7,0
2121,2015,1,23,5,"DL","ATL",14,8,0
1207,2015,1,4,7,"DL","SLC",0,20,0
2357,2015,7,1,3,"DL","MKE",17,2,0
1369,2015,5,28,4,"DL","MCI",0,40,0
276,2015,5,13,3,"DL","MCO",0,9,0
1888,2015,7,18,6,"DL","ATL",2,16,0
2656,2015,8,23,7,"DL","PIT",0,54,0
1096,2015,9,6,7,"DL","MSP",0,189,0
2486,2015,5,18,1,"DL","ATL",20,8,0
1845,2015,9,3,4,"DL","LAX",39,21,0
1330,2015,6,10,3,"DL","TVC",17,112,0
1055,2015,1,3,6,"DL","MSP",0,29,0
1490,2015,7,21,2,"DL","LAS",0,17,0
1917,2015,12,20,7,"DL","LAS",3,12,0
1424,2015,2,18,3,"DL","BNA",0,43,0
2194,2015,6,11,4,"DL","ATL",12,3,0
1424,2015,8,21,5,"DL","MCO",0,137,0
1210,2015,9,17,4,"DL","RDU",0,21,0
1560,2015,4,11,6,"DL","MSP",197,4,0
301,2015,8,20,4,"AA","MIA",19,1,0
1251,2015,6,18,4,"DL","LAX",0,71,0
855,2015,12,11,5,"DL","SLC",0,48,0
1981,2015,7,23,4,"AA","CLT",47,2,0
1905,2015,5,25,1,"DL","MCO",0,43,0
87,2015,2,18,3,"DL","SAN",2,13,0
188,2015,6,19,5,"DL","BOS",36,3,0
2413,2015,8,23,7,"DL","SEA",44,1,0
1995,2015,5,29,5,"DL","MSP",0,15,0
1704,2015,3,23,1,"DL","FLL",0,155,0
21,2015,12,30,3,"DL","FLL",75,5,0
1495,2015,8,17,1,"DL","BDL",0,95,0
1280,2015,6,13,6,"AA","DFW",0,21,0
1380,2015,6,2,2,"DL","PWM",10,6,0
766,2015,7,9,4,"DL","SAN",0,43,0
2385,2015,6,22,1,"DL","MSY",22,58,0
1635,2015,1,8,4,"DL","SAN",0,26,0
2623,2015,6,3,3,"DL","STL",0,19,0
2486,2015,7,15,3,"DL","PVD",65,1,0
1207,2015,6,20,6,"DL","SLC",0,15,0
2455,2015,7,29,3,"DL","AUS",43,2,0
1706,2015,1,12,1,"DL","LAX",0,13,0
505,2015,6,23,2,"DL","CVG",29,16,0
301,2015,8,22,6,"AA","MIA",0,15,0
1125,2015,3,2,1,"AA","DFW",0,50,0
1850,2015,1,4,7,"DL","PHL",133,9,0
905,2015,3,5,4,"DL","LGA",3,36,0
700,2015,2,4,3,"DL","STL",0,39,0
158,2015,12,5,6,"DL","BOS",0,16,0
1269,2015,2,2,1,"AA","DFW",43,5,0
2021,2015,9,16,3,"DL","PHX",0,15,0
1204,2015,2,5,4,"DL","BDL",0,20,0
1237,2015,8,21,5,"DL","BOS",6,6,0
853,2015,6,27,6,"DL","RSW",0,80,0
1737,2015,5,28,4,"DL","BWI",0,15,0
1870,2015,1,8,4,"DL","IND",0,25,0
1207,2015,4,7,2,"DL","SLC",0,41,0
853,2015,11,17,2,"DL","RSW",62,1,0
1805,2015,2,1,7,"DL","MCO",0,13,22
1248,2015,3,8,7,"DL","LAX",0,33,0
1995,2015,5,26,2,"DL","MSP",0,83,0
1144,2015,4,13,1,"DL","DCA",0,56,0
1650,2015,3,1,7,"DL","MSP",0,23,0
936,2015,11,15,7,"DL","EWR",18,2,0
883,2015,7,6,1,"DL","BNA",0,33,0
2809,2015,7,29,3,"DL","RDU",31,7,0
2067,2015,7,8,3,"AA","PHX",0,24,0
1248,2015,2,21,6,"DL","LAX",0,6,0
1487,2015,6,24,3,"DL","MEM",0,15,0
1754,2015,9,24,4,"AA","CLT",2,4,0
1679,2015,2,1,7,"DL","PIT",7,13,0
1380,2015,5,18,1,"DL","PWM",139,19,9
1848,2015,12,19,6,"DL","LGA",0,175,0
886,2015,2,1,7,"DL","BDL",0,20,26
663,2015,3,4,3,"DL","IND",0,165,0
2484,2015,12,23,3,"DL","PIT",11,8,0
1207,2015,6,11,4,"DL","SLC",0,44,0
1409,2015,1,9,5,"DL","MCI",0,42,0
659,2015,8,2,7,"DL","ATL",0,99,0
1270,2015,8,3,1,"AA","MIA",0,30,0
1536,2015,2,21,6,"DL","BWI",0,6,0
678,2015,8,9,7,"DL","ORD",18,4,0
1645,2015,9,8,2,"DL","DEN",9,10,0
870,2015,8,16,7,"DL","MSN",0,105,0
1619,2015,8,24,1,"DL","SAN",26,3,0
1502,2015,4,24,5,"DL","SEA",0,35,0
1304,2015,5,13,3,"DL","DFW",0,10,0
1715,2015,8,11,2,"DL","ATL",11,60,0
2092,2015,9,2,3,"DL","SFO",9,12,0
1264,2015,1,18,7,"DL","EWR",0,11,30
1217,2015,8,2,7,"DL","LAS",0,64,0
2248,2015,6,16,2,"DL","LGA",0,68,0
338,2015,6,30,2,"DL","AUS",0,57,0
1096,2015,5,17,7,"DL","MSP",0,106,0
895,2015,6,11,4,"DL","BOS",0,15,0
1660,2015,7,29,3,"DL","EWR",73,1,0
675,2015,8,30,7,"DL","FLL",0,25,0
1155,2015,8,3,1,"DL","DEN",77,3,0
1568,2015,9,8,2,"DL","GRB",0,66,0
2235,2015,3,12,4,"AA","PHX",0,137,0
2656,2015,4,8,3,"DL","PIT",0,78,0
2402,2015,2,25,3,"DL","IND",0,192,0
1437,2015,3,1,7,"DL","BWI",20,11,0
2393,2015,2,4,3,"DL","MSP",0,16,0
1207,2015,7,3,5,"DL","SLC",11,5,0
2641,2015,7,4,6,"DL","IAH",0,39,0
1468,2015,1,6,2,"DL","ORD",0,26,0
2040,2015,12,19,6,"DL","GRR",0,64,0
2148,2015,2,11,3,"DL","LGA",0,19,0
2432,2015,9,29,2,"DL","BGR",0,46,0
1749,2015,2,1,7,"DL","PHL",0,21,0
1635,2015,1,4,7,"DL","SAN",0,31,0
1628,2015,3,2,1,"DL","MSY",1,58,0
1989,2015,7,29,3,"DL","CLT",14,7,0
891,2015,5,26,2,"DL","LAS",20,4,0
1921,2015,2,9,1,"DL","PHX",11,6,0
158,2015,11,23,1,"DL","BOS",0,12,0
1665,2015,4,30,4,"DL","PVD",0,28,0
2405,2015,9,3,4,"DL","ALB",0,47,0
751,2015,6,27,6,"DL","TPA",0,21,0
1917,2015,8,14,5,"DL","LAS",4,11,0
1218,2015,2,16,1,"DL","DCA",0,94,0
2393,2015,2,11,3,"DL","MSP",0,7,0
2548,2015,2,13,5,"DL","DCA",0,17,0
1436,2015,2,13,5,"DL","BWI",23,22,0
1619,2015,7,18,6,"DL","SAN",0,11,0
512,2015,5,19,2,"DL","MSP",0,7,0
1223,2015,12,14,1,"DL","LAX",15,6,0
1822,2015,2,23,1,"DL","BOS",0,79,0
2657,2015,2,13,5,"DL","PHX",0,21,0
2449,2015,7,8,3,"DL","DCA",35,5,0
2162,2015,2,5,4,"DL","PHL",0,28,0
736,2015,9,7,1,"DL","LGA",0,9,0
1727,2015,7,7,2,"DL","BNA",116,15,0
2385,2015,5,27,3,"DL","MSY",0,84,0
1973,2015,2,23,1,"DL","FLL",0,62,0
954,2015,6,22,1,"DL","LAX",18,4,0
1870,2015,2,2,1,"DL","IND",31,21,0
2263,2015,8,24,1,"DL","SEA",0,7,0
1255,2015,11,20,5,"DL","PVD",0,65,0
870,2015,9,18,5,"DL","MSN",0,14,0
1989,2015,1,15,4,"DL","CLT",25,6,0
2423,2015,6,27,6,"DL","SEA",0,16,0
1318,2015,12,14,1,"DL","PHL",69,2,0
1382,2015,2,3,2,"DL","ORD",0,51,0
1439,2015,9,4,5,"DL","BDL",0,47,0
2513,2015,2,26,4,"DL","GRB",0,30,0
2423,2015,7,30,4,"DL","SEA",0,11,0
1888,2015,7,20,1,"DL","ATL",15,1,0
1893,2015,12,22,2,"DL","ATL",80,20,0
301,2015,12,29,2,"AA","MIA",12,7,0
2636,2015,4,24,5,"DL","GRR",0,13,0
2235,2015,1,28,3,"DL","MSP",0,83,0
1829,2015,3,6,5,"DL","MIA",293,5,0
2641,2015,8,26,3,"DL","IAH",0,121,0
1369,2015,11,9,1,"DL","MCI",0,28,0
1893,2015,12,28,1,"DL","ATL",0,36,0
1719,2015,11,27,5,"DL","LAX",7,5,0
2656,2015,4,23,4,"DL","PIT",0,53,0
1959,2015,2,18,3,"DL","TPA",0,15,0
1385,2015,7,7,2,"DL","TVC",14,2,0
2290,2015,11,7,6,"DL","LAS",0,137,0
2338,2015,12,29,2,"DL","LGA",0,87,0
1679,2015,6,27,6,"DL","GRR",12,21,0
2065,2015,8,25,2,"AA","CLT",0,58,0
1847,2015,1,30,5,"DL","SEA",40,24,0
909,2015,3,26,4,"DL","LAX",0,31,0
1323,2015,7,20,1,"DL","BGR",0,19,0
1913,2015,1,22,4,"DL","MSP",0,34,0
320,2015,8,7,5,"DL","EWR",0,141,0
1804,2015,2,12,4,"DL","FLL",0,130,0
2490,2015,2,24,2,"DL","OMA",0,15,0
1959,2015,9,21,1,"DL","TPA",0,25,0
1207,2015,1,6,2,"DL","SLC",0,48,0
1622,2015,4,27,1,"DL","BOS",6,11,0
1702,2015,5,27,3,"DL","BDL",56,28,0
1511,2015,5,9,6,"DL","DEN",0,53,0
1917,2015,8,7,5,"DL","LAS",13,7,0
2627,2015,3,16,1,"DL","MSN",0,27,0
281,2015,6,23,2,"DL","SEA",0,15,0
2456,2015,1,9,5,"DL","MCO",0,17,0
870,2015,11,16,1,"DL","MSN",0,46,0
276,2015,7,6,1,"DL","MCO",0,20,0
1495,2015,7,15,3,"DL","BDL",0,142,0
1804,2015,12,22,2,"DL","FLL",0,15,0
1644,2015,7,22,3,"DL","LAX",3,3,0
338,2015,6,25,4,"DL","AUS",46,6,0
1509,2015,3,27,5,"DL","MKE",49,12,0
1495,2015,3,24,2,"DL","BOS",33,3,0
2405,2015,9,15,2,"DL","ALB",3,12,0
1573,2015,5,11,1,"DL","MEM",13,2,0
2327,2015,11,6,5,"DL","SFO",0,8,0
1832,2015,9,24,4,"DL","MCO",0,34,0
1511,2015,7,30,4,"DL","DEN",0,8,0
1622,2015,5,17,7,"DL","BOS",0,17,0
1621,2015,7,14,2,"DL","TPA",22,1,0
2403,2015,11,19,4,"DL","ATL",0,15,0
2531,2015,3,27,5,"DL","ATL",0,7,0
1207,2015,7,2,4,"DL","SLC",0,56,0
1822,2015,2,12,4,"DL","BOS",0,44,0
895,2015,4,23,4,"DL","LGA",0,73,0
1637,2015,2,2,1,"DL","BWI",124,11,20
1096,2015,7,16,4,"DL","MSP",8,53,0
1808,2015,9,22,2,"DL","DCA",0,6,0
2484,2015,2,19,4,"DL","PHL",0,29,0
2540,2015,4,26,7,"DL","MSY",0,120,0
1620,2015,9,18,5,"DL","GRR",0,18,0
1847,2015,1,12,1,"DL","SEA",0,95,0
1055,2015,7,25,6,"DL","MSP",0,21,0
1917,2015,3,25,3,"DL","LAS",0,20,0
1486,2015,6,22,1,"DL","DCA",28,16,0
2477,2015,7,29,3,"DL","MKE",36,21,0
1270,2015,8,6,4,"AA","MIA",0,24,0
1405,2015,12,23,3,"DL","MCO",9,47,0
2385,2015,3,6,5,"DL","MSY",38,3,0
2130,2015,4,14,2,"DL","MEM",0,28,0
1679,2015,1,29,4,"DL","PIT",0,8,0
946,2015,9,24,4,"DL","MSP",55,2,0
1207,2015,7,10,5,"DL","SLC",0,17,0
2533,2015,3,1,7,"DL","RDU",9,13,0
2302,2015,4,9,4,"DL","SLC",0,26,0
630,2015,7,29,3,"DL","ATL",11,6,0
2234,2015,1,9,5,"DL","BDL",20,1,0
1805,2015,8,27,4,"DL","MCO",13,101,0
1220,2015,8,24,1,"DL","DCA",27,9,0
2641,2015,6,15,1,"DL","IAH",100,4,0
2635,2015,7,1,3,"DL","ATL",54,18,0
1437,2015,12,21,1,"DL","BWI",23,5,0
1888,2015,8,10,1,"DL","ATL",56,10,0
1084,2015,3,6,5,"DL","JFK",36,9,0
1436,2015,7,6,1,"DL","BWI",0,23,0
1204,2015,2,12,4,"DL","BDL",29,6,0
1852,2015,6,8,1,"DL","GRR",0,30,0
1055,2015,12,6,7,"DL","MSP",44,8,0
658,2015,4,7,2,"DL","STL",0,65,0
2335,2015,2,21,6,"DL","SLC",33,15,0
678,2015,9,27,7,"DL","ORD",0,20,0
1823,2015,6,23,2,"DL","SEA",3,10,0
1644,2015,4,6,1,"DL","SFO",8,24,0
2231,2015,4,22,3,"DL","LGA",0,28,0
1945,2015,6,1,1,"DL","DCA",0,52,0
1906,2015,3,2,1,"DL","PHL",3,17,0
1096,2015,12,23,3,"DL","MSP",1,58,0
2513,2015,2,19,4,"DL","GRB",19,5,0
2135,2015,4,9,4,"DL","GRR",5,16,0
2486,2015,3,5,4,"DL","ATL",84,11,0
1622,2015,3,5,4,"DL","BOS",3,16,0
1959,2015,3,6,5,"DL","TPA",0,11,0
582,2015,5,13,3,"DL","LGA",34,2,0
2329,2015,6,14,7,"DL","RSW",16,9,0
258,2015,3,31,2,"AA","DFW",13,97,0
1436,2015,1,25,7,"DL","BWI",0,68,0
766,2015,4,9,4,"DL","MCO",19,1,0
258,2015,4,23,4,"AA","DFW",0,11,0
2622,2015,6,4,4,"DL","PHL",12,4,0
2646,2015,3,1,7,"DL","ATL",0,35,0
1248,2015,3,1,7,"DL","LAX",0,22,0
2144,2015,8,24,1,"DL","DCA",0,15,0
1217,2015,4,9,4,"DL","LAS",0,31,0
901,2015,12,30,3,"DL","ATL",50,6,0
87,2015,7,27,1,"DL","MSP",0,6,0
1660,2015,7,30,4,"DL","EWR",0,34,0
2809,2015,8,9,7,"DL","RDU",61,2,0
2235,2015,2,23,1,"DL","MSP",0,76,0
1703,2015,6,9,2,"DL","TPA",78,39,0
2166,2015,3,9,1,"DL","ALB",21,20,0
2523,2015,2,26,4,"DL","BOS",50,4,0
1658,2015,9,17,4,"DL","SFO",0,8,0
1217,2015,7,29,3,"DL","LAS",0,82,0
1282,2015,7,23,4,"DL","FLL",0,36,0
1917,2015,6,17,3,"DL","LAS",2,22,0
2449,2015,7,23,4,"DL","DCA",0,14,0
1973,2015,3,15,7,"DL","FLL",34,3,0
305,2015,6,14,7,"DL","BUF",0,17,25
1948,2015,4,11,6,"DL","LGA",0,60,0
736,2015,9,16,3,"DL","LGA",0,21,0
1691,2015,4,6,1,"DL","MSN",0,29,0
870,2015,7,27,1,"DL","MSN",0,122,0
934,2015,9,24,4,"DL","IND",0,157,0
1096,2015,2,21,6,"DL","ATL",0,20,5
1808,2015,9,24,4,"DL","DCA",89,1,0
1225,2015,7,6,1,"DL","TPA",0,185,0
1854,2015,11,18,3,"DL","DEN",6,29,0
1331,2015,8,23,7,"DL","MCI",146,12,0
1749,2015,2,25,3,"DL","PHL",0,109,0
2144,2015,2,4,3,"DL","DCA",15,2,0
795,2015,8,30,7,"AA","PHL",48,14,0
1476,2015,1,30,5,"DL","MSP",0,33,0
1682,2015,11,21,6,"DL","EWR",0,36,265
2021,2015,1,25,7,"DL","PHX",0,76,0
373,2015,7,24,5,"DL","SFO",88,3,0
1845,2015,5,2,6,"DL","LAX",0,6,0
1845,2015,2,18,3,"DL","LAX",16,6,0
258,2015,5,15,5,"AA","DFW",0,21,0
1287,2015,7,22,3,"DL","BNA",0,29,0
1182,2015,3,3,2,"DL","GRR",0,15,0
1318,2015,11,21,6,"DL","PHL",0,51,180
1430,2015,4,27,1,"DL","DFW",5,29,0
678,2015,11,30,1,"DL","ORD",30,5,0
2162,2015,8,20,4,"DL","PHL",0,106,0
1699,2015,4,24,5,"DL","GRB",25,87,0
2635,2015,8,10,1,"DL","LGA",0,86,0
1260,2015,12,19,6,"AA","DFW",120,5,0
2131,2015,7,5,7,"DL","LGA",27,2,0
1537,2015,11,23,1,"DL","RSW",9,8,0
1241,2015,5,11,1,"AA","DFW",0,38,0
1144,2015,2,26,4,"DL","DCA",0,9,0
630,2015,3,1,7,"DL","LGA",0,15,0
2620,2015,3,3,2,"DL","SRQ",9,8,0
1845,2015,4,4,6,"DL","LAX",0,37,0
1822,2015,2,18,3,"DL","BOS",0,11,0
1369,2015,12,11,5,"DL","MCI",0,20,0
2067,2015,1,28,3,"DL","SAN",0,20,0
1635,2015,6,8,1,"DL","SAN",0,9,0
1955,2015,1,18,7,"DL","GRR",0,21,0
258,2015,11,16,1,"AA","DFW",218,19,0
901,2015,3,11,3,"DL","ATL",2,18,0
1055,2015,6,25,4,"DL","MSP",6,10,0
733,2015,7,27,1,"DL","SEA",0,15,0
2092,2015,9,30,3,"DL","SFO",28,1,0
351,2015,6,3,3,"DL","BOS",0,21,0
1155,2015,8,7,5,"DL","DEN",0,50,0
1823,2015,7,26,7,"DL","SEA",0,20,0
1278,2015,3,22,7,"AA","DFW",0,93,0
2657,2015,4,13,1,"DL","PHX",0,16,0
2455,2015,8,10,1,"DL","AUS",0,23,0
1569,2015,7,19,7,"DL","GRR",12,5,0
867,2015,7,3,5,"AA","CLT",0,30,0
43,2015,8,19,3,"AA","DFW",0,46,0
2644,2015,6,22,1,"DL","JAX",33,10,0
2021,2015,7,23,4,"DL","PHX",0,121,0
1823,2015,5,22,5,"DL","SEA",0,15,0
2486,2015,2,26,4,"DL","ATL",0,6,0
2162,2015,7,2,4,"DL","PHL",0,21,0
1188,2015,12,5,6,"DL","PHX",7,12,0
2524,2015,2,18,3,"DL","EWR",0,35,0
1182,2015,4,2,4,"DL","GRR",0,9,0
895,2015,8,7,5,"DL","LAX",0,14,0
1729,2015,8,10,1,"DL","BUF",0,64,0
2402,2015,2,18,3,"DL","IND",0,14,0
2365,2015,3,4,3,"DL","EWR",0,53,0
1225,2015,3,6,5,"DL","TPA",3,93,0
1621,2015,4,8,3,"DL","TPA",0,18,0
1719,2015,1,5,1,"DL","LAX",0,27,0
311,2015,8,20,4,"DL","ATL",20,6,0
582,2015,8,16,7,"DL","LGA",11,6,0
2242,2015,5,29,5,"DL","IND",0,19,0
1921,2015,9,20,7,"DL","PHX",19,13,0
2215,2015,3,4,3,"AA","DFW",0,11,0
1476,2015,5,24,7,"DL","MSP",0,36,0
2418,2015,7,3,5,"DL","BWI",13,13,0
1704,2015,2,13,5,"DL","FLL",3,48,0
788,2015,11,29,7,"DL","ALB",0,15,0
1749,2015,1,30,5,"DL","PHL",0,23,0
1989,2015,4,11,6,"DL","CLT",0,133,0
2128,2015,3,6,5,"DL","MCO",0,28,0
1822,2015,3,1,7,"DL","BOS",0,20,0
2510,2015,2,17,2,"DL","MCI",0,14,0
1220,2015,5,3,7,"DL","DCA",0,54,0
855,2015,8,23,7,"DL","SLC",0,11,0
1619,2015,6,22,1,"DL","SAN",0,13,0
1699,2015,6,17,3,"DL","GRB",0,74,0
2028,2015,12,28,1,"DL","MCO",24,8,0
2826,2015,12,13,7,"DL","SEA",0,36,0
1829,2015,7,9,4,"DL","MIA",0,35,0
2287,2015,3,1,7,"DL","ATL",0,16,0
258,2015,7,14,2,"AA","DFW",183,11,0
1703,2015,11,15,7,"DL","TPA",0,16,0
1682,2015,1,4,7,"DL","LAX",0,23,0
2028,2015,2,28,6,"DL","MCO",0,33,0
2390,2015,8,26,3,"DL","PHL",0,49,0
1251,2015,6,7,7,"DL","LAX",6,5,0
2028,2015,11,28,6,"DL","MCO",3,85,0
1650,2015,1,12,1,"DL","MSP",0,22,0
1306,2015,5,31,7,"DL","LGA",0,169,0
582,2015,4,24,5,"DL","LGA",0,27,0
1405,2015,6,16,2,"DL","MCO",12,19,0
